filename,latex_symbol
mathbb_E.png,\mathbb{E}
mathbb_F.png,\mathbb{F}
mathbb_G.png,\mathbb{G}
mathbb_H.png,\mathbb{H}
mathbb_I.png,\mathbb{I}
mathbb_J.png,\mathbb{J}
mathbb_K.png,\mathbb{K}
mathbb_L.png,\mathbb{L}
mathbb_M.png,\mathbb{M}
mathbb_N.png,\mathbb{N}
mathbb_O.png,\mathbb{O}
mathbb_P.png,\mathbb{P}
mathbb_Q.png,\mathbb{Q}
mathbb_R.png,\mathbb{R}
mathbb_S.png,\mathbb{S}
mathbb_T.png,\mathbb{T}
mathbb_U.png,\mathbb{U}
mathbb_V.png,\mathbb{V}
mathbb_W.png,\mathbb{W}
mathbb_X.png,\mathbb{X}
mathbb_Y.png,\mathbb{Y}
mathbb_Z.png,\mathbb{Z}
vert.png,\vert
aleph.png,\aleph
beth.png,\beth
plus_symb.png,+
minus_symb.png,-
pm.png,\pm
mp.png,\mp
propto.png,\propto
sim.png,\sim
leqq.png,\leqq
geqq.png,\geqq
ll.png,\ll
gg.png,\gg
lll.png,\lll
ggg.png,\ggg
lessgtr.png,\lessgtr
gtrless.png,\gtrless
prec.png,\prec
succ.png,\succ
preccurlyeq.png,\preccurlyeq
succcurlyeq.png,\succcurlyeq
mid.png,\mid
parallel.png,\parallel
nmid.png,\nmid
sqcap.png,\sqcap
sqcup.png,\sqcup
sqrt.png,\sqrt{.}
percent_symb.png,\%
ast.png,\ast
prod.png,\prod
coprod.png,\coprod
to.png,\to
circ.png,\circ
hat.png,\hat{}
oint.png,\oint
iint.png,\iint
iiint.png,\iiint
colon.png,\colon
bullet.png,\bullet
rtimes.png,\rtimes
rangle.png,\rangle
nsim.png,\nsim
veebar.png,\veebar
num0.png,0
num1.png,1
num2.png,2
num3.png,3
num4.png,4
num5.png,5
num6.png,6
num7.png,7
num8.png,8
num9.png,9
